GeneSymbol,Platform,TCGA.05.4390.01,TCGA.05.4417.01,TCGA.05.4433.01,TCGA.44.5644.01,TCGA.44.6145.01
LET7A-1,miRNAExp,-0.048498003,-0.004990216,0.278467755,0.002725499,0.434550396
LET7A-2,miRNAExp,0.087042497,0.153199328,0.759186946,0.163292578,1.076752323
LET7A-3,miRNAExp,-0.047078153,-0.002673888,0.274775747,0.004501016,0.439567598
LET7B,miRNAExp,0.149646837,0.158789865,1.060779731,-0.00290825,1.045074833
LET7C,miRNAExp,-0.173686006,-0.138039762,-0.16143259,-0.146417875,-0.134633316
LET7D,miRNAExp,-0.16603536,-0.146878383,-0.162771558,-0.125929146,-0.156634773
LET7E,miRNAExp,-0.125783313,-0.129349177,-0.123094774,-0.072090907,-0.086803505
LET7F-2,miRNAExp,0.033543114,0.072319416,0.329732523,0.330966928,0.603164239
LET7G,miRNAExp,-0.156620241,-0.149569155,-0.179538199,-0.135879327,-0.171519994
LET7I,miRNAExp,-0.162416812,-0.135566689,-0.184283661,-0.13283856,-0.168512232
MIR100,miRNAExp,-0.069520048,0.058917803,-0.036869147,-0.077276873,0.205845313
MIR101-1,miRNAExp,0.034514953,0.225745684,0.428304226,0.016606809,-0.002279001
MIR101-2,miRNAExp,-0.180592265,-0.162065136,-0.201887157,-0.154009379,-0.205040539
MIR103A-1,miRNAExp,0.395184328,0.220503467,0.902978368,0.360572753,0.581226777
MIR103A-2,miRNAExp,-0.180619835,-0.162500536,-0.203560867,-0.153941691,-0.206602015
MIR106B,miRNAExp,-0.155648402,-0.143160066,-0.169279338,-0.115229186,-0.179288979
MIR107,miRNAExp,-0.178621018,-0.159461444,-0.191579069,-0.148136117,-0.2042726
MIR10A,miRNAExp,0.490452102,0.681522451,0.282937547,0.203791013,1.433306479
MIR10B,miRNAExp,0.090902282,-0.101823186,-0.187069896,-0.030967657,0.080261661
MIR1180,miRNAExp,-0.179448115,-0.162256712,-0.202871693,-0.152988848,-0.205821277
MIR125A,miRNAExp,-0.159701177,-0.150413831,-0.182294899,-0.146631354,-0.172991878
MIR125B-1,miRNAExp,-0.174740555,-0.149342747,-0.195566438,-0.151338295,-0.190168117
MIR125B-2,miRNAExp,-0.181150556,-0.162622448,-0.203423032,-0.154212444,-0.206384432
MIR126,miRNAExp,-0.12321242,-0.111288783,-0.112865449,-0.145720165,-0.119172141
MIR1266,miRNAExp,-0.180861072,-0.162456996,-0.198175458,-0.153447046,-0.204886951
MIR127,miRNAExp,-0.16946092,-0.128121349,-0.200548189,-0.145350483,-0.18735234
